Date,Sales
1992-01-01,28986
1992-02-01,27978
1992-03-01,29062
1992-04-01,29588
1992-05-01,31008
1992-06-01,30119
1992-07-01,31717
1992-08-01,30806
1992-09-01,29528
1992-10-01,30748
1992-11-01,29752
1992-12-01,33375
1993-01-01,29426
1993-02-01,27551
1993-03-01,29835
1993-04-01,30180
1993-05-01,31235
1993-06-01,30706
1993-07-01,32353
1993-08-01,30580
1993-09-01,30005
1993-10-01,30592
1993-11-01,30180
1993-12-01,34160
1994-01-01,29658
1994-02-01,27949
1994-03-01,31287
1994-04-01,30585
1994-05-01,31569
1994-06-01,31887
1994-07-01,32622
1994-08-01,31965
1994-09-01,31228
1994-10-01,31212
1994-11-01,31276
1994-12-01,35376
1995-01-01,30446
1995-02-01,28565
1995-03-01,31738
1995-04-01,31167
1995-05-01,32531
1995-06-01,32412
1995-07-01,32868
1995-08-01,32626
1995-09-01,31550
1995-10-01,31201
1995-11-01,31865
1995-12-01,35712
1996-01-01,31124
1996-02-01,30176
1996-03-01,32410
1996-04-01,31518
1996-05-01,33703
1996-06-01,32792
1996-07-01,33751
1996-08-01,34166
1996-09-01,31596
1996-10-01,32883
1996-11-01,33388
1996-12-01,35688
1997-01-01,32568
1997-02-01,29970
1997-03-01,33803
1997-04-01,32036
1997-05-01,34868
1997-06-01,32947
1997-07-01,34741
1997-08-01,34542
1997-09-01,32439
1997-10-01,33772
1997-11-01,33510
1997-12-01,36569
1998-01-01,32854
1998-02-01,30104
1998-03-01,32792
1998-04-01,33298
1998-05-01,35069
1998-06-01,33722
1998-07-01,35731
1998-08-01,34751
1998-09-01,33427
1998-10-01,34785
1998-11-01,33937
1998-12-01,38460
1999-01-01,33719
1999-02-01,31615
1999-03-01,34887
1999-04-01,34506
1999-05-01,36410
1999-06-01,35170
1999-07-01,37327
1999-08-01,35485
1999-09-01,35127
1999-10-01,35546
1999-11-01,35211
1999-12-01,41131
2000-01-01,33617
2000-02-01,32930
2000-03-01,35838
2000-04-01,35692
2000-05-01,36975
2000-06-01,36821
2000-07-01,37502
2000-08-01,37130
2000-09-01,36153
2000-10-01,36009
2000-11-01,37006
2000-12-01,41500
2001-01-01,35774
2001-02-01,34033
2001-03-01,37702
2001-04-01,36514
2001-05-01,39147
2001-06-01,38359
2001-07-01,38524
2001-08-01,39027
2001-09-01,37213
2001-10-01,37750
2001-11-01,38510
2001-12-01,42273
2002-01-01,37084
2002-02-01,34645
2002-03-01,38842
2002-04-01,36016
2002-05-01,39702
2002-06-01,38041
2002-07-01,39083
2002-08-01,39233
2002-09-01,36433
2002-10-01,37809
2002-11-01,38830
2002-12-01,41224
2003-01-01,37984
2003-02-01,34994
2003-03-01,38077
2003-04-01,37829
2003-05-01,40334
2003-06-01,38304
2003-07-01,40381
2003-08-01,39975
2003-09-01,37748
2003-10-01,39158
2003-11-01,39112
2003-12-01,42456
2004-01-01,39355
2004-02-01,36587
2004-03-01,38967
2004-04-01,39206
2004-05-01,41234
2004-06-01,39782
2004-07-01,41809
2004-08-01,39953
2004-09-01,39625
2004-10-01,40391
2004-11-01,40366
2004-12-01,45103
2005-01-01,39989
2005-02-01,37237
2005-03-01,41499
2005-04-01,40268
2005-05-01,42277
2005-06-01,41768
2005-07-01,42986
2005-08-01,42135
2005-09-01,41316
2005-10-01,41754
2005-11-01,42052
2005-12-01,47135
2006-01-01,40571
2006-02-01,38694
2006-03-01,42267
2006-04-01,41808
2006-05-01,44162
2006-06-01,43378
2006-07-01,44213
2006-08-01,44105
2006-09-01,42489
2006-10-01,43037
2006-11-01,43958
2006-12-01,48520
2007-01-01,42875
2007-02-01,40437
2007-03-01,44573
2007-04-01,42886
2007-05-01,46309
2007-06-01,45413
2007-07-01,45686
2007-08-01,45935
2007-09-01,44010
2007-10-01,44818
2007-11-01,46055
2007-12-01,50210
2008-01-01,45152
2008-02-01,43421
2008-03-01,46382
2008-04-01,44727
2008-05-01,48874
2008-06-01,46436
2008-07-01,48432
2008-08-01,48319
2008-09-01,45349
2008-10-01,47039
2008-11-01,46995
2008-12-01,49787
2009-01-01,46487
2009-02-01,42000
2009-03-01,45080
2009-04-01,45776
2009-05-01,48419
2009-06-01,46258
2009-07-01,48194
2009-08-01,47162
2009-09-01,45546
2009-10-01,47192
2009-11-01,46703
2009-12-01,51281
2010-01-01,46449
2010-02-01,43667
2010-03-01,47450
2010-04-01,46377
2010-05-01,48957
2010-06-01,47135
2010-07-01,49035
2010-08-01,47673
2010-09-01,46812
2010-10-01,47895
2010-11-01,48162
2010-12-01,52731
2011-01-01,47847
2011-02-01,44987
2011-03-01,49091
2011-04-01,49912
2011-05-01,50753
2011-06-01,50351
2011-07-01,51816
2011-08-01,50889
2011-09-01,49263
2011-10-01,50202
2011-11-01,50666
2011-12-01,55225
2012-01-01,49222
2012-02-01,48220
2012-03-01,51859
2012-04-01,50168
2012-05-01,53234
2012-06-01,52001
2012-07-01,52177
2012-08-01,52749
2012-09-01,50475
2012-10-01,51570
2012-11-01,52247
2012-12-01,56101
2013-01-01,51076
2013-02-01,48017
2013-03-01,53601
2013-04-01,49765
2013-05-01,54584
2013-06-01,52603
2013-07-01,53854
2013-08-01,54431
2013-09-01,51112
2013-10-01,53094
2013-11-01,54090
2013-12-01,57355
2014-01-01,53531
2014-02-01,49409
2014-03-01,53759
2014-04-01,53617
2014-05-01,57158
2014-06-01,54668
2014-07-01,56785
2014-08-01,56694
2014-09-01,53744
2014-10-01,56272
2014-11-01,56345
2014-12-01,60481
2015-01-01,56128
2015-02-01,51560
2015-03-01,56080
2015-04-01,55042
2015-05-01,58585
2015-06-01,56137
2015-07-01,58575
2015-08-01,57266
2015-09-01,55123
2015-10-01,57027
2015-11-01,56440
2015-12-01,61340
2016-01-01,56335
2016-02-01,53542
2016-03-01,57434
2016-04-01,55642
2016-05-01,58582
2016-06-01,57875
2016-07-01,59188
2016-08-01,57994
2016-09-01,56838
2016-10-01,58129
2016-11-01,58575
2016-12-01,64302
2017-01-01,57253
2017-02-01,53962
2017-03-01,59657
2017-04-01,59018
2017-05-01,61494
2017-06-01,59939
2017-07-01,60991
2017-08-01,60788
2017-09-01,59665
2017-10-01,60121
2017-11-01,61424
2017-12-01,67064
2018-01-01,59758
2018-02-01,55851
2018-03-01,63078
2018-04-01,58847
2018-05-01,63832
2018-06-01,62120
2018-07-01,62729
2018-08-01,62990
2018-09-01,60626
2018-10-01,61977
2018-11-01,63172
2018-12-01,67521
2019-01-01,62529
2019-02-01,56596
2019-03-01,63200
2019-04-01,62009
2019-05-01,66175
2019-06-01,64100
2019-07-01,65943
2019-08-01,66430
2019-09-01,61831
2019-10-01,64050
2019-11-01,65475
2019-12-01,68824
